clean_comment,sentiment,rate
áo bao đẹp ạ,POSITIVE,5
tuyệt vời,POSITIVE,5
hôm nay ao không giong trong,NEGATIVE,1
mùi thơm bôi lên da mềm da,POSITIVE,5
vải đẹp dày dặn,POSITIVE,5
hàng rất đẹp rất chi là ưng ý,POSITIVE,5
chất lượng sản phẩm tốt hạn sử dụng dài,POSITIVE,5
ăn nói và thái độ phục vụ tốt,POSITIVE,4
đóng gói sản phẩm chắc chắn,POSITIVE,5
tất sờn hết ca chưa dùng mà vay rồi,NEGATIVE,2
cửa hàng phục vụ rất tốt,POSITIVE,5
mặc thì người được,NEUTRAL,3
chất vải khỏi chê,POSITIVE,5
thời gian giao hàng rất nhanh,POSITIVE,5
chất lượng sản phẩm tuyệt vời,POSITIVE,4
vải hơi thô cứng thời gian giao hàng nhanh,POSITIVE,5
chất lượng sản phẩm chưa thật sự đẹp nhé cửa hàng,POSITIVE,4
rất đáng tiền thời gian giao hàng rất nhanh,POSITIVE,5
quần rất đẹp mặc vừa vặn,POSITIVE,5
cảm giác mua hàng bị hớ thật tệ,NEGATIVE,2
khi mua về nên đi sửa lại,NEGATIVE,2
với giá này thì sản phẩm tạm ổn chưa được gọi là đẹp lắm,NEUTRAL,3
rất đáng tiền thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời,POSITIVE,5
giá cả chấp nhận được,POSITIVE,4
nói chung là rất ổn,POSITIVE,5
áo quá đẹp luôn nếu không muốn nói là đẹp may quá có áo mới đi làm cty mới cửa hàng còn mẫu nào trắng nữa để mình mua,POSITIVE,5
chưa mặc nhưng thấy chất dày dặn nhìn chung là hài lòng,POSITIVE,5
chất vải đã ổn mà hình thì siu ciu luôn í cửa hàng rất nhiệt tình chịu,POSITIVE,5
giao hàng nhanh,POSITIVE,5
thấy khá okz cảm ơn cửa hàng,POSITIVE,4
chất lượng sản phẩm tuyệt vời sẽ ủng hộ cửa hàng nhiều,POSITIVE,5
chất lượng sản phẩm tạm được vải hơi khô và mỏng,POSITIVE,4
hàng hoá lừa đảo,NEGATIVE,1
thời gian giao hàng nhanh,POSITIVE,4
ảnh in đẹp,POSITIVE,5
giá lại rẻ,POSITIVE,5
quần áo super đẹp,POSITIVE,4
giao hàng thiếu nt cho cửa hàng đã xem mà không có phản hồi gì,NEGATIVE,1
thank cửa hàng,POSITIVE,5
tuyệt vời hơn khi mua trên shopee thì được freeship,POSITIVE,5
tiếc là không đặt thêm mấy chiếc,POSITIVE,5
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt thời gian giao hàng rất nhanh,POSITIVE,5
đồng hồ mua về không sử dụg được,NEGATIVE,1
chất mềm mịn mát,POSITIVE,5
giao thiếu 1b 80k mà im re,NEGATIVE,1
sản phr rất ưng ý,POSITIVE,5
mua lần rồi,POSITIVE,5
ngực em cuzng bitnhf thường thôi mà mặc vào nó vừa đẩy vừa sáng cả cái bầu ngực,NEGATIVE,1
quần đợt đặt tận chiếc mà chất quần hoàn toàn xa với đợt,POSITIVE,5
99k người đáng mua,POSITIVE,5
quần đẹp vừa form,POSITIVE,5
chất vải xấu xù,NEGATIVE,2
